,equity
2025-09-10,120756.98770564387
2025-09-11,120687.89947941901
2025-09-12,120734.52928247968
2025-09-13,120804.83165671804
2025-09-14,120748.99273650476
2025-09-15,120797.64025151767
2025-09-16,120835.52237665343
2025-09-17,120883.04549181914
2025-09-18,120903.05204263693
2025-09-19,120941.97294215823
2025-09-20,121108.31308756144
2025-09-21,121170.51751581274
2025-09-22,121422.94552604547
2025-09-23,121576.41217189228
2025-09-24,121642.89017762717
2025-09-25,121725.73771791001
2025-09-26,121799.13448978699
2025-09-27,121913.2843053399
2025-09-28,121940.01789526154
2025-09-29,121949.26188423776
2025-09-30,121997.0577578405
2025-10-01,122092.84752726163
2025-10-02,122133.2560543887
2025-10-03,122203.77450831585
2025-10-04,122223.66890174118
2025-10-05,122252.06186304986
2025-10-06,122296.37667886914
2025-10-07,122403.24421585939
2025-10-08,122418.59486401074
2025-10-09,122569.59636929752
2025-10-10,122522.17508152616
2025-10-11,122630.63391832866
2025-10-12,122773.25235733767
2025-10-13,122687.83946116582
2025-10-14,122917.86376109014
2025-10-15,122962.47348585424
2025-10-16,123022.23090442261
2025-10-17,123232.23659321094
2025-10-18,123303.09450405034
2025-10-19,123413.62829645861
2025-10-20,123356.31155213773
2025-10-21,123656.30343942328
2025-10-22,123710.75563083365
2025-10-23,123979.4025323957
2025-10-24,123938.15337710523
2025-10-25,124026.58692356943
2025-10-26,123992.10505962817
2025-10-27,124199.8147588046
2025-10-28,124238.78591001434
2025-10-29,124356.65164826835
2025-10-30,124444.3252532704
2025-10-31,124539.64268441238
2025-11-01,124575.74818328554
2025-11-02,124752.6082343257
2025-11-03,124800.98807889137
2025-11-04,124818.3325945136
2025-11-05,124887.02599355382
2025-11-06,124935.59398215378
2025-11-07,125019.08945527647
2025-11-08,125024.65736064053
2025-11-09,125061.77390081108
2025-11-10,125172.26729248567
2025-11-11,125226.1803657745
2025-11-12,125294.74647107754
2025-11-13,125403.72490004798
2025-11-14,125511.30175298073
2025-11-15,125354.09731294002
2025-11-16,125530.92871058562
2025-11-17,125558.55540954752
2025-11-18,125538.41911168686
2025-11-19,125582.93775302994
2025-11-20,125533.44435478984
2025-11-21,125599.62302161592
2025-11-22,125615.415487585
2025-11-23,125603.57822425438
2025-11-24,125528.36594094736
2025-11-25,125525.96891421967
2025-11-26,125598.60977667556
2025-11-27,125626.78784779167
2025-11-28,125573.7781030046
2025-11-29,125490.78322061642
2025-11-30,125372.26077467576
2025-12-01,125509.31579130907
2025-12-02,125525.28259022257
2025-12-03,125521.58856322653
2025-12-04,125611.03111646086
2025-12-05,125646.06183916995
2025-12-06,125689.59142139395
2025-12-07,125761.83385572037
2025-12-08,125772.81159368319
2025-12-09,125871.02728492652
2025-12-10,125891.5164948235
2025-12-11,125844.56054370727
2025-12-12,125958.83620302963
2025-12-13,126010.55038529911
2025-12-14,126095.12302989273
2025-12-15,126090.93152812803
2025-12-16,126152.16113916737
2025-12-17,126231.08460700212
2025-12-18,126262.90246261138
2025-12-19,126340.06368292267
2025-12-20,126362.9463504131
2025-12-21,126394.84626708142
2025-12-22,126424.48246298685
2025-12-23,126599.14039230655
2025-12-24,126709.93053081878
2025-12-25,126792.40422657951
2025-12-26,126841.56955746186
2025-12-27,127029.99076935566
2025-12-28,126974.67871082555
2025-12-29,127267.2280460732
2025-12-30,127309.82637174388
2025-12-31,127380.42890124832
2026-01-01,127581.25317062605
2026-01-02,127661.58522624511
2026-01-03,127714.78864058114
2026-01-04,127898.69136422372
2026-01-05,128049.07025611485
2026-01-06,128061.23416958863
2026-01-07,128082.50069400034
2026-01-08,128127.39595411236
2026-01-09,128263.08899382448
2026-01-10,128388.32864343155
2026-01-11,128591.32766209159
2026-01-12,128549.04517971608
2026-01-13,128537.7469325644
2026-01-14,128599.45974369656
2026-01-15,128636.34651292556
2026-01-16,128679.95729406146
2026-01-17,128635.45248319961
2026-01-18,128632.42928084028
2026-01-19,128750.89122845684
2026-01-20,128996.85481167234
2026-01-21,129163.87468891317
2026-01-22,129194.62263375087
2026-01-23,129312.46048663427
2026-01-24,129030.37620739275
2026-01-25,129823.6524385278
2026-01-26,129855.86326515886
2026-01-27,129929.41742778079
2026-01-28,129992.35207038546
2026-01-29,130133.98506412566
2026-01-30,130207.57182600704
2026-01-31,130400.22436305812
